"original","short_name"
"ID","id"
"Hora de início","hora_inicio"
"Hora de conclusão","hora_conclusao"
"Nome","nome"
"Qual é a razão social e o nome fantasia da sua empresa?","razao_social"
"Qual é o CNPJ da empresa?","cnpj"
"Quantos colaboradores a empresa possui atualmente?","colaboradores_qtd"
"Qual é o faturamento médio anual da empresa?","faturamento_anual"
"Informe seu nome completo:","respondente"
"Qual cargo ou função atual na empresa?","cargo"
"Qual é o seu e-mail?","email"
"Existem processos internos para garantir o cumprimento da legislação ambiental e de segurança do trabalho?","processos_legislacao"
"Nos últimos cinco anos, a empresa recebeu alguma sanção administrativa de natureza ambiental e de segurança do trabalho?","teve_sancao_5anos"
"Discorra brevemente sobre o motivo da sanção:","motivo_sancao"
"A empresa possui compromisso formal com o trabalho digno, incluindo a não utilização de trabalho infantil, forçado ou análogo à escravidão, e o cumprimento integral da legislação trabalhista vigente?","trabalho_digno"
"A empresa possui certificações relacionadas à gestão ambiental, segurança do trabalho ou conformidade legal (ex: ISO 14001, ISO 45001, OHSAS 18001, FSC, entre outras)?","certificacoes"
"Favor especificar abaixo e enviar evidências conforme instruções.","certificacoes_evidencias"
"A empresa possui uma política formal implementada relacionada à responsabilidade sociolambiental (como política ambiental, de sustentabilidade ou equivalente)?","politica_responsabilidade"
"A empresa realiza treinamentos sobre temas de sustentabilidade com seus colaboradores? ","treinamentos_sustentabilidade"
"Explique abaixo as áreas abrangidas, os temas que são abordados e a periodicidade dos treinamentos:","treinamentos_detalhes"
"A empresa possui práticas formais para garantir o compliance do negócio, como políticas anticorrupção, cumprimento de normas legais e promoção da transparência?","praticas_compliance"
"Explique quais são essas práticas:","compliance_detalhes"
"A empresa realiza o levantamento de seus aspectos e impactos ambientais e estabelece controle para eles?","levantamento_aspectos_impactos"
"A empresa possui práticas em sua operação para gestão e uso responsável de água? ","gestao_agua"
"Explique abaixo sobre essas práticas:","gestao_agua_detalhes"
"A empresa possui práticas em sua operação para gestão e eficiência energética?","eficiencia_energetica"
"Explique abaixo sobre essas práticas:2","eficiencia_energetica_detalhes"
"A empresa possui práticas em sua operação para gerenciamento de resíduos?","gerenciamento_residuos"
"Explique abaixo sobre essas práticas:3","gerenciamento_residuos_detalhes"
"A empresa possui práticas implementadas para calcular ou estimar a pegada de carbono de seus produtos e serviços?","pegada_carbono"
"Explique abaixo sobre essas práticas:4","pegada_carbono_detalhes"
"Caso tenha inventário de GEE, o mesmo é auditado por empresa terceira parte?","inventario_gee_auditado"
"Quais combustíveis são utilizados nos veículos da empresa? Escreve abaixo a percentagem média de utilização dos combustíveis, caso seja só um, escreva o nome do combustível e 100%. Exemplo: (Diese...","combustiveis_veiculos"
"A empresa possui práticas estruturadas para promover a inclusão e a diversidade entre seus colaboradores (ex.: equidade de gênero, raça, pessoas com deficiência, LGBTQIA+, etc)?","inclusao_diversidade"
"Detalhe as práticas estruturadas implementadas pela empresa para garantir inclusão e diversidade entre colaboradores.","inclusao_detalhes"
"A empresa realiza ações ou programas de voluntariado com envolvimento da comunidade local?","voluntariado"
"Descreva as ações ou programas de voluntariado realizados com a comunidade.","voluntariado_detalhes"
"A empresa possui programas ou práticas estruturadas voltadas à saúde mental e bem-estar emocional dos colaboradores (ex.: apoio psicológico, campanhas internas, parcerias com profissionais ou plat...","saude_mental_praticas"
"Informe as ações que sua empresa realiza para cuidar da saúde mental e bem-estar dos colaboradores.","saude_mental_detalhes"
"Sua empresa possui uma política formal de Compras Sustentáveis, separada do Código de Conduta para Fornecedores, que inclua objetivos qualitativos e metas quantitativas para questões ambientais e ...","compras_sustentaveis_politica"
"A empresa possui algum critério socioambiental estabelecido para selecionar sua cadeia de fornecedores?","criterio_fornecedores"
"Se sim, escreva qual(is) critério(s) utilizado(s):","criterios_fornecedores_detalhes"
"Os contratos firmados com fornecedores incluem cláusulas específicas sobre requisitos ambientais, sociais, trabalhistas e de direitos humanos?","contratos_fornecedores_clausulas"
"Os profissionais de compras da sua empresa recebem treinamentos regulares sobre temas de sustentabilidade aplicados à cadeia de suprimentos?","compras_treinamento"
"A empresa possui um programa ou práticas estruturadas para promover a diversidade na sua cadeia de fornecedores?","diversidade_cadeia_fornecedores"
"Sua empresa realiza auditorias (presenciais ou remotas) nos fornecedores para verificar o cumprimento de requisitos de sustentabilidade?","auditorias_fornecedores"
"Você gostaria de nos contar mais alguma coisa sobre sua empresa ou fazer algum comentário final? ","comentario_final"
"Confirma que todas as informações fornecidas estão corretas?","confirmado"
